Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,15,Predictive,ride,bike,bike3.jpg,ride_bike,ride_bike_AAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume1.jpg,can,can4.jpg,kite,kite2.jpg,AAE
suboptimal,28,NeutralFiller,hold,football,football3.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle4.jpg,whistle,whistle1.jpg,costume,costume4.jpg,GAE
suboptimal,50,Filler,buy,truck,truck1.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can2.jpg,milk,milk1.jpg,dog,dog1.jpg,GAE
intermediate,28,NeutralFiller,hold,football,football1.jpg,hold_football,hold_football_GAE.mp3,,,,,pickle,pickle2.jpg,whistle,whistle3.jpg,costume,costume1.jpg,GAE
intermediate,17,Predictive,pet,cat,cat4.jpg,pet_cat,pet_cat_GAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box4.jpg,plant,plant4.jpg,ball,ball3.jpg,GAE
optimal,37,Filler,buy,shirt,shirt3.jpg,buy_shirt,buy_shirt_AAE.mp3,,,,,horse ,horse 4.jpg,bread,bread2.jpg,couch,couch2.jpg,AAE
optimal,45,Filler,choose,santa,santa4.jpg,choose_santa,choose_santa_AAE.mp3,,,,,mail,mail4.jpg,whistle,whistle2.jpg,trophy,trophy1.jpg,AAE
intermediate,6,Predictive,play,piano,piano4.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch4.jpg,tractor,tractor2.jpg,crayon,crayon3.jpg,GAE
intermediate,10,Predictive,throw,football,football2.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle3.jpg,whistle,whistle4.jpg,costume,costume4.jpg,GAE
optimal,4,Predictive,drink ,milk,milk2.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor3.jpg,ball,ball1.jpg,dress,dress3.jpg,AAE
suboptimal,36,Filler,choose,chair,chair4.jpg,choose_chair,choose_chair_GAE.mp3,,,,,brush,brush1.jpg,horn,horn4.jpg,bread,bread4.jpg,GAE
suboptimal,45,Filler,choose,santa,santa1.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail2.jpg,whistle,whistle3.jpg,trophy,trophy2.jpg,GAE
intermediate,5,Predictive,win,trophy,trophy4.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail1.jpg,santa,santa2.jpg,whisle,whisle1.jpg,GAE
intermediate,15,Predictive,ride,bike,bike4.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume3.jpg,can,can3.jpg,kite,kite4.jpg,GAE
optimal,40,Filler,buy,crayon,crayon2.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch3.jpg,piano,piano3.jpg,tractor,tractor1.jpg,AAE
