Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
optimal,42,Filler,choose,scissors,scissors2.jpg,choose_scissors,choose_scissors_AAE.mp3,,,,,bush,bush4.jpg,sandwich,sandwich1.jpg,jewel,jewel4.jpg,AAE
intermediate,7,Predictive,fly,kite,kite2.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut3.jpg,bush,bush3.jpg,shoes,shoes3.jpg,GAE
optimal,5,Predictive,win,trophy,trophy2.jpg,win_trophy,win_trophy_AAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail2.jpg,santa,santa3.jpg,whisle,whisle3.jpg,AAE
suboptimal,32,NeutralFiller,find ,dog,dog1.jpg,find _dog,find _dog_GAE.mp3,,,,,can,can4.jpg,milk,milk3.jpg,truck,truck4.jpg,GAE
suboptimal,52,Filler,find,mail,mail4.jpg,find_mail,find_mail_GAE.mp3,,,,,cart,cart3.jpg,cat,cat4.jpg,ball,ball3.jpg,GAE
optimal,24,NeutralFiller,buy ,piano,piano1.jpg,buy _piano,buy _piano_AAE.mp3,,,,,couch,couch2.jpg,tractor,tractor1.jpg,crayon,crayon4.jpg,AAE
optimal,44,Filler,find,doll,doll4.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel1.jpg,juice,juice4.jpg,tree,tree3.jpg,AAE
intermediate,9,Predictive,eat,sandwich,sandwich4.jpg,eat_sandwich,eat_sandwich_GAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush2.jpg,jewel,jewel2.jpg,scissors,scissors1.jpg,GAE
intermediate,31,NeutralFiller,buy,car,car3.jpg,buy_car,buy_car_GAE.mp3,,,,,bag,bag4.jpg,grapes,grapes4.jpg,dress,dress2.jpg,GAE
suboptimal,1,Predictive,toast,bread,bread4.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 2.jpg,shirt,shirt1.jpg,couch,couch1.jpg,GAE
suboptimal,2,Predictive,climb,tree,tree2.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel3.jpg,doll,doll2.jpg,juice,juice2.jpg,GAE
optimal,4,Predictive,drink ,milk,milk2.jpg,drink _milk,drink _milk_AAE.mp3,find_milk,find_milk.mp3,find_dress,find_dress.mp3,tractor,tractor3.jpg,ball,ball1.jpg,dress,dress1.jpg,AAE
intermediate,1,Predictive,toast,bread,bread2.jpg,toast_bread,toast_bread_GAE.mp3,buy_bread,buy_bread.mp3,buy_shirt,buy_shirt.mp3,horse ,horse 1.jpg,shirt,shirt2.jpg,couch,couch3.jpg,GAE
suboptimal,3,Predictive,pour ,juice,juice1.jpg,pour _juice,pour _juice_GAE.mp3,find_juice,find_juice.mp3,find_bell,find_bell.mp3,truck,truck3.jpg,book,book1.jpg,bell,bell2.jpg,GAE
intermediate,6,Predictive,play,piano,piano2.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch2.jpg,tractor,tractor4.jpg,crayon,crayon1.jpg,GAE
suboptimal,41,Filler,choose,shoes,shoes4.jpg,choose_shoes,choose_shoes_GAE.mp3,,,,,peanut,peanut2.jpg,kite,kite3.jpg,bush,bush3.jpg,GAE
suboptimal,14,Predictive,walk,dog,dog3.jpg,walk_dog,walk_dog_GAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can3.jpg,milk,milk1.jpg,truck,truck2.jpg,GAE
optimal,10,Predictive,throw,football,football4.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle2.jpg,costume,costume1.jpg,AAE
optimal,40,Filler,buy,crayon,crayon3.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch1.jpg,piano,piano3.jpg,tractor,tractor2.jpg,AAE
intermediate,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag3.jpg,grapes,grapes1.jpg,dress,dress2.jpg,GAE
suboptimal,17,Predictive,pet,cat,cat1.jpg,pet_cat,pet_cat_GAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box2.jpg,plant,plant1.jpg,ball,ball2.jpg,GAE
intermediate,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_GAE.mp3,,,,,bush,bush4.jpg,sandwich,sandwich2.jpg,jewel,jewel2.jpg,GAE
optimal,43,Filler,find,mittens,mittens1.jpg,find_mittens,find_mittens_AAE.mp3,,,,,footprint,footprint1.jpg,picture,picture3.jpg,cookies,cookies3.jpg,AAE
suboptimal,50,Filler,buy,truck,truck1.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can1.jpg,milk,milk4.jpg,dog,dog2.jpg,GAE
suboptimal,46,Filler,choose,horse,horse2.jpg,choose_horse,choose_horse_GAE.mp3,,,,,santa,santa4.jpg,ring,ring2.jpg,book,book2.jpg,GAE
optimal,6,Predictive,play,piano,piano1.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch4.jpg,tractor,tractor1.jpg,crayon,crayon1.jpg,AAE
optimal,12,Predictive,bake,cookies,cookies4.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll3.jpg,footprint,footprint4.jpg,trophy,trophy3.jpg,AAE
suboptimal,45,Filler,choose,santa,santa2.jpg,choose_santa,choose_santa_GAE.mp3,,,,,mail,mail3.jpg,whistle,whistle3.jpg,trophy,trophy2.jpg,GAE
intermediate,27,NeutralFiller,buy,sandwich,sandwich3.jpg,buy_sandwich,buy_sandwich_GAE.mp3,,,,,bush,bush1.jpg,jewel,jewel3.jpg,scissors,scissors4.jpg,GAE
suboptimal,25,NeutralFiller,buy,kite,kite4.jpg,buy_kite,buy_kite_GAE.mp3,,,,,peanut,peanut4.jpg,bush,bush2.jpg,shoes,shoes1.jpg,GAE
optimal,0,Predictive,blow,horn,horn4.jpg,blow_horn,blow_horn_AAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush1.jpg,chair,chair1.jpg,bread,bread3.jpg,AAE
optimal,9,Predictive,eat,sandwich,sandwich4.jpg,eat_sandwich,eat_sandwich_AAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush1.jpg,jewel,jewel4.jpg,scissors,scissors3.jpg,AAE
intermediate,16,Predictive,kick,ball,ball4.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart4.jpg,cat,cat3.jpg,mail,mail1.jpg,GAE
intermediate,36,Filler,choose,chair,chair2.jpg,choose_chair,choose_chair_GAE.mp3,,,,,brush,brush2.jpg,horn,horn1.jpg,bread,bread2.jpg,GAE
suboptimal,8,Predictive,read,book,book3.jpg,read_book,read_book_GAE.mp3,choose_book,choose_book.mp3,choose_horse,choose_horse.mp3,santa,santa4.jpg,ring,ring4.jpg,horse,horse3.jpg,GAE
optimal,52,Filler,find,mail,mail4.jpg,find_mail,find_mail_AAE.mp3,,,,,cart,cart2.jpg,cat,cat2.jpg,ball,ball2.jpg,AAE
intermediate,0,Predictive,blow,horn,horn2.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush3.jpg,chair,chair4.jpg,bread,bread3.jpg,GAE
suboptimal,37,Filler,buy,shirt,shirt4.jpg,buy_shirt,buy_shirt_GAE.mp3,,,,,horse ,horse 4.jpg,bread,bread1.jpg,couch,couch3.jpg,GAE
optimal,45,Filler,choose,santa,santa3.jpg,choose_santa,choose_santa_AAE.mp3,,,,,mail,mail2.jpg,whistle,whistle1.jpg,trophy,trophy1.jpg,AAE
intermediate,2,Predictive,climb,tree,tree4.jpg,climb_tree,climb_tree_GAE.mp3,touch_tree,touch_tree.mp3,buy_shirt,buy_shirt.mp3,jewel,jewel1.jpg,doll,doll1.jpg,juice,juice3.jpg,GAE
optimal,27,NeutralFiller,buy,sandwich,sandwich3.jpg,buy_sandwich,buy_sandwich_AAE.mp3,,,,,bush,bush2.jpg,jewel,jewel3.jpg,scissors,scissors4.jpg,AAE
intermediate,49,Filler,choose,grapes,grapes4.jpg,choose_grapes,choose_grapes_GAE.mp3,,,,,bag,bag4.jpg,car,car1.jpg,dress,dress3.jpg,GAE
suboptimal,16,Predictive,kick,ball,ball1.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart1.jpg,cat,cat1.jpg,mail,mail1.jpg,GAE
suboptimal,21,NeutralFiller,find,juice,juice2.jpg,find_juice,find_juice_GAE.mp3,,,,,truck,truck4.jpg,book,book4.jpg,bell,bell3.jpg,GAE
