Condition,Original Index,Verb_Type,Verb,Target Object,TargetImage,Verb-noun Pair,Verb-NounAudio,Neutral-pred Pair,Neutral-PredAudio,Filler-pred Pair,Filler-PredAudio,Unrelated Foil A,FoilAImage,Unrelated Foil B,FoilBImage,Unrelated Foil C,FoilCImage,Speaker
intermediate,7,Predictive,fly,kite,kite3.jpg,fly_kite,fly_kite_GAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut3.jpg,bush,bush1.jpg,shoes,shoes4.jpg,GAE
suboptimal,20,NeutralFiller,touch,tree,tree3.jpg,touch_tree,touch_tree_GAE.mp3,,,,,jewel,jewel4.jpg,doll,doll3.jpg,juice,juice4.jpg,GAE
optimal,6,Predictive,play,piano,piano4.jpg,play_piano,play_piano_AAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch1.jpg,tractor,tractor4.jpg,crayon,crayon2.jpg,AAE
suboptimal,18,NeutralFiller,choose,horn,horn2.jpg,choose_horn,choose_horn_GAE.mp3,,,,,brush,brush2.jpg,chair,chair3.jpg,bread,bread1.jpg,GAE
intermediate,41,Filler,choose,shoes,shoes3.jpg,choose_shoes,choose_shoes_GAE.mp3,,,,,peanut,peanut4.jpg,kite,kite4.jpg,bush,bush3.jpg,GAE
optimal,11,Predictive,draw,picture,picture1.jpg,draw_picture,draw_picture_AAE.mp3,find_picture,find_picture.mp3,find_mittens,find_mittens.mp3,footprint,footprint3.jpg,cookies,cookies4.jpg,mittens,mittens2.jpg,AAE
optimal,28,NeutralFiller,hold,football,football4.jpg,hold_football,hold_football_AAE.mp3,,,,,pickle,pickle4.jpg,whistle,whistle1.jpg,costume,costume1.jpg,AAE
intermediate,12,Predictive,bake,cookies,cookies3.jpg,bake_cookies,bake_cookies_GAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll2.jpg,footprint,footprint4.jpg,trophy,trophy2.jpg,GAE
optimal,40,Filler,buy,crayon,crayon1.jpg,buy_crayon,buy_crayon_AAE.mp3,,,,,couch,couch4.jpg,piano,piano1.jpg,tractor,tractor1.jpg,AAE
intermediate,36,Filler,choose,chair,chair2.jpg,choose_chair,choose_chair_GAE.mp3,,,,,brush,brush1.jpg,horn,horn4.jpg,bread,bread3.jpg,GAE
optimal,44,Filler,find,doll,doll4.jpg,find_doll,find_doll_AAE.mp3,,,,,jewel,jewel2.jpg,juice,juice1.jpg,tree,tree4.jpg,AAE
optimal,41,Filler,choose,shoes,shoes1.jpg,choose_shoes,choose_shoes_AAE.mp3,,,,,peanut,peanut1.jpg,kite,kite1.jpg,bush,bush4.jpg,AAE
suboptimal,17,Predictive,pet,cat,cat1.jpg,pet_cat,pet_cat_GAE.mp3,choose_cat,choose_cat.mp3,buy_plant,buy_plant.mp3,box,box1.jpg,plant,plant3.jpg,ball,ball1.jpg,GAE
optimal,45,Filler,choose,santa,santa4.jpg,choose_santa,choose_santa_AAE.mp3,,,,,mail,mail3.jpg,whistle,whistle4.jpg,trophy,trophy3.jpg,AAE
suboptimal,44,Filler,find,doll,doll1.jpg,find_doll,find_doll_GAE.mp3,,,,,jewel,jewel3.jpg,juice,juice4.jpg,tree,tree2.jpg,GAE
intermediate,10,Predictive,throw,football,football2.jpg,throw_football,throw_football_GAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle2.jpg,whistle,whistle2.jpg,costume,costume4.jpg,GAE
intermediate,48,Filler,find,footprint,footprint1.jpg,find_footprint,find_footprint_GAE.mp3,,,,,doll,doll3.jpg,cookies,cookies2.jpg,trophy,trophy1.jpg,GAE
suboptimal,9,Predictive,eat,sandwich,sandwich1.jpg,eat_sandwich,eat_sandwich_GAE.mp3,buy_sandwich,buy_sandwich.mp3,choose_scissors,choose_scissors.mp3,bush,bush2.jpg,jewel,jewel2.jpg,scissors,scissors1.jpg,GAE
optimal,14,Predictive,walk,dog,dog4.jpg,walk_dog,walk_dog_AAE.mp3,find_dog,find_dog.mp3,buy_truck,buy_truck.mp3,can,can3.jpg,milk,milk1.jpg,truck,truck2.jpg,AAE
intermediate,6,Predictive,play,piano,piano2.jpg,play_piano,play_piano_GAE.mp3,buy_piano,buy_piano.mp3,buy_crayon,buy_crayon.mp3,couch,couch1.jpg,tractor,tractor3.jpg,crayon,crayon3.jpg,GAE
intermediate,5,Predictive,win,trophy,trophy3.jpg,win_trophy,win_trophy_GAE.mp3,buy_trophy,buy_trophy.mp3,choose_santa,choose_santa.mp3,mail,mail2.jpg,santa,santa3.jpg,whisle,whisle4.jpg,GAE
suboptimal,15,Predictive,ride,bike,bike4.jpg,ride_bike,ride_bike_GAE.mp3,find_bike,find_bike.mp3,get_can,get_can.mp3,costume,costume3.jpg,can,can1.jpg,kite,kite3.jpg,GAE
intermediate,23,NeutralFiller,buy,trophy,trophy4.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail3.jpg,santa,santa2.jpg,whistle,whistle3.jpg,GAE
suboptimal,16,Predictive,kick,ball,ball3.jpg,kick_ball,kick_ball_GAE.mp3,buy_ball,buy_ball.mp3,find_mail,find_mail.mp3,cart,cart3.jpg,cat,cat4.jpg,mail,mail2.jpg,GAE
optimal,50,Filler,buy,truck,truck4.jpg,buy_truck,buy_truck_AAE.mp3,,,,,can,can2.jpg,milk,milk3.jpg,dog,dog1.jpg,AAE
optimal,12,Predictive,bake,cookies,cookies3.jpg,bake_cookies,bake_cookies_AAE.mp3,choose_cookies,choose_cookies.mp3,find_footprint,find_footprint.mp3,doll,doll4.jpg,footprint,footprint2.jpg,trophy,trophy2.jpg,AAE
suboptimal,13,Predictive,drive,car,car2.jpg,drive_car,drive_car_GAE.mp3,buy_car,buy_car.mp3,choose_grapes,choose_grapes.mp3,bag,bag3.jpg,grapes,grapes1.jpg,dress,dress1.jpg,GAE
optimal,10,Predictive,throw,football,football3.jpg,throw_football,throw_football_AAE.mp3,hold_football,hold_football.mp3,buy_whistle,buy_whistle.mp3,pickle,pickle1.jpg,whistle,whistle2.jpg,costume,costume1.jpg,AAE
optimal,39,Filler,find,dress,dress4.jpg,find_dress,find_dress_AAE.mp3,,,,,tractor,tractor1.jpg,milk,milk1.jpg,ball,ball2.jpg,AAE
suboptimal,36,Filler,choose,chair,chair1.jpg,choose_chair,choose_chair_GAE.mp3,,,,,brush,brush4.jpg,horn,horn3.jpg,bread,bread2.jpg,GAE
suboptimal,42,Filler,choose,scissors,scissors3.jpg,choose_scissors,choose_scissors_GAE.mp3,,,,,bush,bush3.jpg,sandwich,sandwich3.jpg,jewel,jewel1.jpg,GAE
intermediate,50,Filler,buy,truck,truck2.jpg,buy_truck,buy_truck_GAE.mp3,,,,,can,can4.jpg,milk,milk4.jpg,dog,dog3.jpg,GAE
optimal,7,Predictive,fly,kite,kite4.jpg,fly_kite,fly_kite_AAE.mp3,buy_kite,buy_kite.mp3,choose_shoes,choose_shoes.mp3,peanut,peanut2.jpg,bush,bush1.jpg,shoes,shoes2.jpg,AAE
intermediate,0,Predictive,blow,horn,horn1.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush3.jpg,chair,chair4.jpg,bread,bread1.jpg,GAE
intermediate,25,NeutralFiller,buy,kite,kite2.jpg,buy_kite,buy_kite_GAE.mp3,,,,,peanut,peanut3.jpg,bush,bush4.jpg,shoes,shoes1.jpg,GAE
suboptimal,23,NeutralFiller,buy,trophy,trophy1.jpg,buy_trophy,buy_trophy_GAE.mp3,,,,,mail,mail1.jpg,santa,santa1.jpg,whistle,whistle1.jpg,GAE
intermediate,44,Filler,find,doll,doll2.jpg,find_doll,find_doll_GAE.mp3,,,,,jewel,jewel3.jpg,juice,juice3.jpg,tree,tree4.jpg,GAE
intermediate,40,Filler,buy,crayon,crayon4.jpg,buy_crayon,buy_crayon_GAE.mp3,,,,,couch,couch3.jpg,piano,piano3.jpg,tractor,tractor4.jpg,GAE
suboptimal,0,Predictive,blow,horn,horn4.jpg,blow_horn,blow_horn_GAE.mp3,choose_horn ,choose_horn .mp3,choose_chair,choose_chair.mp3,brush,brush1.jpg,chair,chair2.jpg,bread,bread3.jpg,GAE
